127.0.0.1 - - [16/Jan/2023:12:13:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/ HTTP/1.1" 200 24760
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/assets/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/assets/css/main.css HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/assets/images/eg_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20221222093426983.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20221229100927409.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20220524023258742.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20220808045731080.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/assets/images/go_img1_220713.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20221216101953683.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20220111111753399.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20220826103558846.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20220118041911524.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/20221028022744946.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/icon_sns_ist.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/icon_sns_fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/icon_sns_tw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/icon_sns_nb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/txt_koreaz.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/assets/images/f_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:48 +0900] "GET /mofa/resources/upload/main/icon_sns_ytb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:50 +0900] "GET /mofa/resources/assets/icon/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:55 +0900] "GET /mofa/api/api1 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:14:06 +0900] "GET /mofa/api/list HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:14:23 +0900] "GET /mofa/api/list HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:17:33 +0900] "POST /mofa/api/add HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:18:55 +0900] "GET /mofa/api/user/lhy HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:20:55 +0900] "PUT /mofa/api/upd HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:22:08 +0900] "PUT /mofa/api/upd HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:22:15 +0900] "PUT /mofa/api/upd HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:24:21 +0900] "DELETE /mofa/api/del HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:24:31 +0900] "DELETE /mofa/api/del/jin HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:29:06 +0900] "DELETE /mofa/api/del HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:29:58 +0900] "DELETE /mofa/api/list HTTP/1.1" 405 804
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:30:01 +0900] "GET /mofa/api/list HTTP/1.1" 200 300
